job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size,salary_in_gbp
Data Engineer,Mid-level,Full-time,Remote,2024,United States,148100,USD,148100,United States,Medium,121442.0
Data Engineer,Mid-level,Full-time,Remote,2024,United States,98700,USD,98700,United States,Medium,80934.0
Data Scientist,Senior-level,Full-time,Remote,2024,United States,140032,USD,140032,United States,Medium,114826.23999999999
Data Scientist,Senior-level,Full-time,Remote,2024,United States,100022,USD,100022,United States,Medium,82018.04
BI Developer,Mid-level,Full-time,On-site,2024,United States,120000,USD,120000,United States,Medium,98400.0
BI Developer,Mid-level,Full-time,On-site,2024,United States,62100,USD,62100,United States,Medium,50922.0
Research Analyst,Entry-level,Full-time,On-site,2024,United States,250000,USD,250000,United States,Medium,205000.0
Research Analyst,Entry-level,Full-time,On-site,2024,United States,150000,USD,150000,United States,Medium,122999.99999999999
Data Engineer,Executive-level,Full-time,Remote,2024,United States,219650,USD,219650,United States,Medium,180113.0
Data Engineer,Executive-level,Full-time,Remote,2024,United States,136000,USD,136000,United States,Medium,111520.0
Business Intelligence Developer,Mid-level,Full-time,On-site,2024,United States,87800,USD,87800,United States,Medium,71996.0
Business Intelligence Developer,Mid-level,Full-time,On-site,2024,United States,76300,USD,76300,United States,Medium,62565.99999999999
Data Scientist,Mid-level,Full-time,Remote,2024,United States,148100,USD,148100,United States,Medium,121442.0
Data Scientist,Mid-level,Full-time,Remote,2024,United States,98700,USD,98700,United States,Medium,80934.0
Data Engineer,Mid-level,Full-time,On-site,2024,United States,145500,USD,145500,United States,Medium,119310.0
Data Engineer,Mid-level,Full-time,On-site,2024,United States,93000,USD,93000,United States,Medium,76260.0
Data Scientist,Mid-level,Full-time,On-site,2024,United States,85000,USD,85000,United States,Medium,69700.0
Data Scientist,Mid-level,Full-time,On-site,2024,United States,75000,USD,75000,United States,Medium,61499.99999999999
Data Scientist,Mid-level,Full-time,On-site,2024,United States,105000,USD,105000,United States,Medium,86100.0
Data Scientist,Mid-level,Full-time,On-site,2024,United States,70000,USD,70000,United States,Medium,57400.0
Data Engineer,Senior-level,Full-time,On-site,2024,United States,204662,USD,204662,United States,Medium,167822.84
Data Engineer,Senior-level,Full-time,On-site,2024,United States,184662,USD,184662,United States,Medium,151422.84
Data Scientist,Mid-level,Full-time,On-site,2024,United States,179000,USD,179000,United States,Medium,146780.0
Data Scientist,Mid-level,Full-time,On-site,2024,United States,112000,USD,112000,United States,Medium,91840.0
Data Analyst,Entry-level,Full-time,On-site,2024,United States,115000,USD,115000,United States,Medium,94300.0
Data Analyst,Entry-level,Full-time,On-site,2024,United States,85000,USD,85000,United States,Medium,69700.0
Director of Data Science,Executive-level,Full-time,On-site,2024,United States,225000,USD,225000,United States,Medium,184500.0
Director of Data Science,Executive-level,Full-time,On-site,2024,United States,180000,USD,180000,United States,Medium,147600.0
MLOps Engineer,Senior-level,Full-time,On-site,2024,United States,175000,USD,175000,United States,Medium,143500.0
MLOps Engineer,Senior-level,Full-time,On-site,2024,United States,110000,USD,110000,United States,Medium,90200.0
Machine Learning Scientist,Senior-level,Full-time,On-site,2024,United States,252000,USD,252000,United States,Medium,206640.0
Machine Learning Scientist,Senior-level,Full-time,On-site,2024,United States,157500,USD,157500,United States,Medium,129149.99999999999
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,267900,USD,267900,United States,Medium,219678.0
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,234700,USD,234700,United States,Medium,192454.0
Data Analyst,Entry-level,Full-time,On-site,2024,United States,195500,USD,195500,United States,Medium,160310.0
Data Analyst,Entry-level,Full-time,On-site,2024,United States,68000,USD,68000,United States,Medium,55760.0
Data Science Manager,Senior-level,Full-time,Remote,2024,United States,120000,USD,120000,United States,Medium,98400.0
Data Science Manager,Senior-level,Full-time,Remote,2024,United States,90000,USD,90000,United States,Medium,73800.0
Data Scientist,Senior-level,Full-time,On-site,2024,United States,242000,USD,242000,United States,Medium,198440.0
Data Scientist,Senior-level,Full-time,On-site,2024,United States,106200,USD,106200,United States,Medium,87084.0
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,215000,USD,215000,United States,Medium,176300.0
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,146900,USD,146900,United States,Medium,120458.0
